,attachments,author_id,conversation_id,created_at,edit_history_tweet_ids,geo,id,in_reply_to_user_id,text,origen
10,"{'media_keys': ['3_1591066929758105600', '3_1591066929951043584']}",259545087,1591068729533685760,2022-11-11 14:02:00+00:00,['1591068729533685760'],,1591068729533685760,,"Moon Rises @designbyhumans by @BobyBerto https://t.co/sYDm6ASaZn
#lake #landscape #moon #mountain #nature #oilpaint #rise #rises #river #silhouette #night #summer #supermoon #water #moonrises #moonlight #tshirt https://t.co/xPDdlJB0Pg",River
11,"{'media_keys': ['3_1591068503779549189', '3_1591068509735378950']}",856592594196975618,1591068512986234883,2022-11-11 14:01:08+00:00,['1591068512986234883'],,1591068512986234883,,"With its many tributaries, the Congo forms the continent’s largest network of navigable #waterways. 

In addition, the #Congo river is the world's deepest recorded #river at 720 feet (220 meters) deep in parts — too deep for light to penetrate. @nytimes 
#NileNovember
#NileBasin https://t.co/1zN4ES9tlr",River
12,{'media_keys': ['3_1591066136111902723']},259545087,1591068240490377217,2022-11-11 14:00:03+00:00,['1591068240490377217'],,1591068240490377217,,"Summer Sunrise @designbyhumans by @Boby_Berto https://t.co/84vYYyjENi
#summer #sun #lanscape #sunrise #river #mountain #trees #sky #tshirt #clothing #lanscape #relax #nature #silhouette #jungle #forest https://t.co/LiqKP9nMPp",River
13,,1159819188153794560,1591067470839746560,2022-11-11 13:57:00+00:00,['1591067470839746560'],,1591067470839746560,,"++-comprate el album panini QATAR 2022 completo electronico
aqui: https://t.co/v5UYXZ36br
 #Atletico #AtleticoMadrid #AtleticoGrau 
#DeportivoCuenca #DeportivoAlaves #deportivocali108años 
#DeportesHOY #River #Boca #BocaCampeonDelMundo 
#BocaJunior #Tucumán #Emelec #millonarios",River
14,{'media_keys': ['3_1591066915908231168']},158146515,1591066924238049280,2022-11-11 13:54:49+00:00,['1591066924238049280'],,1591066924238049280,,"#River LOS CONVOCADOS DEL REAL BETIS | Manuel Pellegrini presentó la lista de convocados para enfrentar al Millonario en el último partido de Marcelo Gallardo. Será el domingo, a las 17, en el Estadio Malvinas Argentinas de Mendoza.

No están Germán Pezzella ni Guido Rodríguez. https://t.co/I8lxhDzkQX",River
15,,1159819188153794560,1591066715655389186,2022-11-11 13:54:00+00:00,['1591066715655389186'],,1591066715655389186,,"+-comprate el album panini QATAR 2022 completo electronico
aqui: https://t.co/v5UYXYLvjT
 #Atletico #AtleticoMadrid #AtleticoGrau 
#DeportivoCuenca #DeportivoAlaves #deportivocali108años 
#DeportesHOY #River #Boca #BocaCampeonDelMundo 
#BocaJunior #Tucumán #Emelec #millonarios",River
16,{'media_keys': ['7_1326701023071756293']},1367551934845120516,1591066094139510784,2022-11-11 13:51:32+00:00,['1591066094139510784'],,1591066094139510784,,"#RIVER | #UnDiaComoHoy

Media copa ya estaba ganada🐙🧤

[📸@FOXSportsArg]

#VamosRiver #RiverCamp #UnDiaComoHoy 
 https://t.co/9TO5uimDKP",River
17,{'media_keys': ['3_1591065382558875648']},1367551934845120516,1591065392889597952,2022-11-11 13:48:44+00:00,['1591065392889597952'],,1591065392889597952,,"#RIVER | #UnDiaComoHoy 

""Y automaticamente vos sacas del medio y empatas"" 

[📸@RiverPlate]

#VamosRiver #RiverCamp #UnDiaComoHoy https://t.co/eVcs5RM21c",River
18,,1191065009155129351,1591065297288822784,2022-11-11 13:48:22+00:00,['1591065297288822784'],,1591065297288822784,,Polémica en #River: cómo quedó el pasto del Monumental tras los recitales de Coldplay https://t.co/thMI72rLLB,River
19,"{'media_keys': ['3_1591064905440006144', '3_1591064908992487429', '3_1591064912352223233', '3_1591064916294868995']}",1438521090939109385,1591064918908112896,2022-11-11 13:46:51+00:00,['1591064918908112896'],,1591064918908112896,,"Aniversario de la primera final de #LaCopaEterna
Partido para la historia: Fue la última final a partido doble de la Libertadores. Gol sacando del medio de Pratto y atajadon de San Armani.
#River #VamosRiver https://t.co/8pyygKjpCA",River
